Marke,Modell,Beschreibung,Gewicht
Mercedes,LA 1113A,"lange DoKa, 4.2 m Achsstand, 11er Räder, Vorbauseilwinde, Spritstand unbekannt (Fassungsvermögen 200 l), selbst gewogen",4680
Mercedes,LAF 1113A / 1965,"kurze Doka, selbstgewogen, mit Reifen 365/80R20, Radstand 3,60 m, inklusive Zwischenrahmen 250 kg",4300
Mercedes,LA 1113B,Fahrgestell (lt. kurzhauber.allrad-lkw.eu),3800
Mercedes,LAF 1113B / 1969,"Fahrgestell selbstgewogen, mit Reifen 8,25R20, sonst ohne alles, Radstand 4,20 m (reisefertig mit LAK2, 14,5R20, 400 l Sprit: 7,5 t selbst gewogen)",4400
Mercedes,LAF 1113B / 1973,"Fahrgestell selbstgewogen, mit Reifen 385/65R22,5, sonst ohne alles, Radstand 4,20 m",4400
Mercedes,LAF 1113B / 1984,"nur Fahrgestell/ohne etwas, selbstgewogen, Einzelb. 385/65, 9P Doka, Radstand 4,20 m",5140
Mercedes,LA 1113B / 1982,"nur Fahrgestell, Einzelb. 385/65R22,5, 6P Doka, HL4 HA, Rotzler Winde, Radstand 4,20 m",5200
Mercedes,LAF 1113B/42 / 1974,"nur Fahrgestell mit 6-Personen-Doka, HL5-Hinterachse, 4 Schwingsitze, 600-Liter-Tanks halbvoll, gewogen",5160
Mercedes,LAF 1113B/42 / 1974,"nur Fahrgestell mit 6-Personen-Doka, HL4-Hinterachse, Rest serienmäßig, errechnet",4780
Mercedes,LAF 1113B / 1990,"große Doka, RS 4,20 m, weitgehend original mit leerem Koffer (ohne Einbauten und Leiterhalterung), selbst gewogen",6100
Mercedes,Unimog 1300L,"BM435.115, Motor OM366A, BW-San-Koffer (leer, jedoch mit Batt., Standheizung, Originalisolierung), Reifen 12,5R20 ohne Reserverad",5400
Mercedes,Unimog 2450L38,"nur Fahrgestell mit Arbeitsgruppe, Kriechgängen, Splitgetriebe und 14.00R20",5460
Mercedes,Unimog U2400TG,"nur Fahrgestell, Reifen 6x 12R22,5, Radstand 4100 (lt. Daimler)",5600
Mercedes,Arocs 1843 A 4x4 BG11,"nur Fahrgestell, Reifen 14,00R20 inkl. Ersatzrad, 2x 290-l-Tank voll, Radstand 4500, selbst gewogen",9240
Renault,TRM 2000,"Fahrgestell mit Brücke ohne Bordwände aber mit Ersatzrad und Ersatzradkran, vollgetankt",3860
Renault,85 150 TI,Fahrgestell mit kurzer DoKa und 20 l Diesel,4500
Robur,2002A,"Fahrgestell ohne Aufbau, Werkzeug, Ersatzrad",2500
Robur,2002A,"Allradbus AFR6 MZ17, leer nach KTA-Blatt (fahrbereit mit Ersatzrad)",3700
Saurer,2DM / 1976,"Original Schweizer Armeeausführung (Pritsche, Plane und Winde)",7100
Saurer,4DM / Bj. 73,3-Seiten-Kipper ohne Zugmaul,7300
